Datum;Quelle (Domain);Titel;Kategorie;Grund;Link
2026-05-27;awo-dortmund.de;Besonderer Stargast brachte die AWO Begegnungsstätte Westerfilde zum Beben;Veranstaltung;Bericht über eine kulturelle Veranstaltung mit Stargast im Pflegeheim.;https://awo-dortmund.de/besonderer-stargast-brachte-die-awo-begegnungsstaette-westerfilde-zum-beben/
2026-05-27;kkimk.de;Pflegekräfte für Herzkatheterlabor (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://kkimk.de/blog/2026/05/27/mfa-m-w-d-fuer-herzkatheterlabor/
2026-05-27;kkimk.de;Wald | Stadt | Vital – Ein Tag für’s Herz;Veranstaltung;Ankündigung eines gemeinsamen Gesundheits-Tages mit Partnerorganisation.;https://kkimk.de/blog/2026/05/27/wald-stadt-vital-ein-tag-fuers-herz/
2026-05-27;st-clara-salzkotten.de;Gemeinsam anpacken für den Mutterhausgarten;Aktion;Beschreibung eines konkreten Projekts und einer Mitarbeiteraktion;https://www.st-clara-salzkotten.de/gemeinsam-anpacken-fuer-den-mutterhausgarten/
2026-05-27;katharinenstift-coesfeld.de;Darauf erst einmal ein Eis!!;Aktion;Bericht über eine konkrete Veranstaltung (Eiswagen) für die Bewohner.;https://www.katharinenstift-coesfeld.de/ein-eis-geht-immer-2/
2026-05-27;alexianer-muenster.de;AUSGEZEICHNET! Kunsthaus Kannen Preis 2026;Auszeichnung;Verleihung eines Preises an das Pflegeheim;https://www.alexianer-muenster.de/unternehmen/aktuelles/aktuell/ausgezeichnet-kunsthaus-kannen-preis-2026
2026-05-27;alexianer.de;AUSGEZEICHNET! Kunsthaus Kannen Preis 2026;Auszeichnung;Verleihung eines Preises an das Pflegeheim;https://www.alexianer.de/aktuelles/aktuell/ausgezeichnet-kunsthaus-kannen-preis-2026
2026-05-27;alexianer.de;Raphaelsklinik unterstützt „Aktionstag gegen den Schmerz“;Aktion;Teilnahme an einer bundesweiten Aktion;https://www.alexianer.de/aktuelles/aktuell/raphaelsklinik-unterstuetzt-aktionstag-gegen-den-schmerz
2026-05-27;belia.de;Fünf Minuten Zeit und ein Notizblock – Speeddating stiftet Bekanntschaften;Veranstaltung;Beschreibung einer konkreten Aktion/Veranstaltung zur Vernetzung;https://belia.de/news-detail/detail/fuenf-minuten-zeit-und-ein-notizblock-speeddating-stiftet-bekanntschaften
2026-05-27;belia.de;Kleine Ponys, große Freude – Besonderer Besuch in unserer Seniorenresidenz;Veranstaltung;Beschreibung eines besonderen Besuchs mit Ponys für die Bewohner;https://belia.de/news-detail/detail/kleine-ponys-grosse-freude-besonderer-besuch-in-unserer-seniorenresidenz
2026-05-27;caritas-geldern.de;Berufliche Integration bei der Caritas: Wenn Arbeit wieder gut tut;Personalie;Titel deutet auf eine neue Maßnahme oder Personalie im Bereich der beruflichen Integration hin.;https://www.caritas-geldern.de/verband/presse/presse/berufliche-integration-bei-der-caritas-wenn-arbeit-wieder-gut-tut-c6296221-c1be-4b63-8447-c5bd2e2bcf
2026-05-27;caritas-geldern.de;Quartier Gromansfeld sucht Ehrenamtliche für den „Suppensamstag“;Aktion;Einladung zu einer konkreten Veranstaltung (Suppensamstag);https://www.caritas-geldern.de/verband/presse/presse/quartier-gromansfeld-sucht-ehrenamtliche-fuer-den-suppensamstag-b6481e5d-d7cc-4d0f-8497-fb1da93520b7
2026-05-27;caritasverband-dueren.de;youngcaritas im Kreis Düren gestartet – Jugendliche für soziale Projekte gesucht;Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://www.caritasverband-dueren.de/pressemitteilungen/youngcaritas-im-kreis-dueren-gestartet--jugendlich/3298874/
2026-05-27;diakonie-sw.de;Diakonie Klinikum Kirchen: Familie bei Fachtag im Fokus |27.05.2026;Veranstaltung;Fachtag mit Fokus auf Familie;https://www.diakonie-sw.de/details/artikel/diakonie-klinikum-kirchen-familie-bei-fachtag-im-fokus/
2026-05-27;evkln.de;Wenn Schmerzen nicht mehr weggehen - Aktionstag im Evangelischen Krankenhaus Dinslaken;Aktionstag;Titel deutet auf eine konkrete Veranstaltung/Aktion hin;https://www.evkln.de/der-verbund/news-details/aktionstag-chronische-schmerzen-am-2-juni-im-dinslaken.html
2026-05-27;raphaelsklinik.de;Raphaelsklinik unterstützt „Aktionstag gegen den Schmerz“;Aktion;Teilnahme an einer bundesweiten Aktion;https://www.raphaelsklinik.de/unternehmen/aktuelles/aktuell/raphaelsklinik-unterstuetzt-aktionstag-gegen-den-schmerz
2026-05-26;miteinander-wohnen.com;Pflegefachkraft in Teil- oder Vollzeit (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://www.miteinander-wohnen.com/2026/05/26/pflegefachkraft-in-teil-oder-vollzeit-m-w-d/
2026-05-26;grafschafter-diakonie.de;Sprechen Sie deutsch? Ja gerne – zusammen!;Aktion;Neues Angebot und Projektstart: Sprachcafé auf Tour;https://www.grafschafter-diakonie.de/sprechen-sie-deutsch-ja-gerne-zusammen/
2026-05-26;altenheime-essen.de;Erfolgreiche Teilnahme an Job-Speed-Dating;Veranstaltung;Bericht über Teilnahme an Job-Speed-Dating und Präsentation des Pflegeberufs.;https://ng-se.de/erfolgreiche-teilnahme-an-job-speed-dating-2/
2026-05-26;ng-se.de;Erfolgreiche Teilnahme an Job-Speed-Dating;Veranstaltung;Bericht über Teilnahme an Job-Speed-Dating und Präsentation des Pflegeberufs.;https://ng-se.de/erfolgreiche-teilnahme-an-job-speed-dating-2/
2026-05-26;awo-lev.de;Demenz verstehen;Bericht;Artikel über Demenz und Angehörigenunterstützung;https://awoleverkusen.de/blog/2026/05/26/demenz-verstehen/
2026-05-26;gesob-gmbh.de;Wünsche, die verbinden;Veranstaltung;Beschreibung einer gemeinsamen Aktion des Heimbeirats mit Bewohnern;https://www.gesob-gmbh.de/2026/05/26/wuensche-die-verbinden/
2026-05-26;grafschafter-diakonie.de;Einrichtungen zeigen Flagge für Vielfalt und Zusammenhalt;Aktion;Teilnahme an bundesweiter Aktion und gesellschaftliches Engagement;https://www.grafschafter-diakonie.de/einrichtungen-zeigen-flagge-fuer-vielfalt-und-zusammenhalt/
2026-05-26;cwdu.de;Grillnachmittag im BBZ Meiderich bringt Menschen zusammen;Veranstaltung;Bericht über ein konkretes soziales Event (Grillnachmittag);https://edd.de/2026/05/26/grillnachmittag-im-bbz-meiderich-bringt-menschen-zusammen/
2026-05-26;eahd.de;Grillnachmittag im BBZ Meiderich bringt Menschen zusammen;Veranstaltung;Bericht über ein konkretes soziales Event (Grillnachmittag);https://edd.de/2026/05/26/grillnachmittag-im-bbz-meiderich-bringt-menschen-zusammen/
2026-05-26;edd.de;Grillnachmittag im BBZ Meiderich bringt Menschen zusammen;Veranstaltung;Bericht über ein konkretes soziales Event (Grillnachmittag);https://edd.de/2026/05/26/grillnachmittag-im-bbz-meiderich-bringt-menschen-zusammen/
2026-05-26;augusta-kliniken.de;„Deutschlands beste Krankenhäuser“: Augusta Klinikum Bochum zählt zum 8. Mal in Folge dazu;Auszeichnung;Die Klinik wurde erneut als eines der besten Krankenhäuser Deutschlands ausgezeichnet.;https://www.augusta-kliniken.de/aktuelle-meldungen/meldung/deutschlands-beste-krankenhaeuser-augusta-klinikum-bochum-zaehlt-zum-8-mal-in-folge-dazu.html
2026-05-26;caritas-mettmann.de;Film und Talk: „Akte Integration“ mit Souad Lamroubal;Veranstaltung;Titel deutet auf eine konkrete kulturelle oder thematische Veranstaltung hin.;https://www.caritas-mettmann.de/aktuelles/news/Film-und-Talk-Akte-Integration-mit-Souad-Lamroubal/
2026-05-26;caritas-neuss.de;Horst Knappe liest im Literaturkreis;Veranstaltung;Titel deutet auf eine kulturelle Veranstaltung (Lesung) im Pflegeheim hin.;https://www.caritas-neuss.de/aktuelles/news/Horst-Knappe-liest-im-Literaturkreis/
2026-05-26;caritas-olpe.de;„Hier darf ich Mensch sein“: Frank Rahn findet neue Lebensfreude in der Werkstatt;Personalie;Titel deutet auf eine neue Tätigkeit oder Lebenssitze eines Mitarbeiters hin.;https://www.caritas-olpe.de/news/details/hier-darf-ich-mensch-sein-frank-rahn-findet-neue-lebensfreude-in-der-werkstatt
2026-05-26;curavie-pflege.de;Viele gut gelaunte Gesichter beim Frühlingsfest in der Residenz;Veranstaltung;Bericht über ein konkretes Festereignis;https://curavie-pflege.de/fileadmin//lavendio/tanzbein.PNG
2026-05-26;evkln.de;Junge Pflege Kongress Nordwest 2026;Veranstaltung;Ankündigung eines zukünftigen Fachkongresses;https://www.evkln.de/der-verbund/news-details/proud-to-become-a-nurse.html
2026-05-26;klinikum-hochsauerland.de;Neues Behandlungsangebot bei schwer einstellbarem Bluthochdruck - Alexianer Klinikum Hochsauerland führt erstmals renale Denervierung durch;Neues Angebot;Erstmalige Durchführung eines neuen medizinischen Verfahrens;https://www.klinikum-hochsauerland.de/unternehmen/aktuelles/aktuell/neues-behandlungsangebot-bei-schwer-einstellbarem-bluthochdruck-alexianer-klinikum-hochsauerland-fuehrt-erstmals-renale-denervierung-durch
2026-05-25;johannisstift.de;Stiftscafé Paderglück seit dem 8. April geöffnet;Eröffnung;Neuöffnung der Gastronomie im Heim;https://www.johannisstift.de/blog/stiftscafe-paderglueck-seit-dem-8-april-geoeffnet/
2026-05-25;awo-dortmund.de;Stricken, Schnacken, Spenden in Berghofen – jeden Montag;Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://awo-dortmund.de/stricken-schnacken-spenden-in-berghofen-jeden-montag/
2026-05-25;anna-katharinenstift.de;Richtfest an der Lüdinghauser Straße;Eröffnung;Baufortschritt und Richtfest als wichtige Projektneuigkeit;https://www.anna-katharinenstift.de/aktuelles?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=183&cHash=09791684cc39e5a86b0f19a5ea3048b3
2026-05-24;awo-dortmund.de;Spielenachmittag in Schüren – jeden Dienstag;Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://awo-dortmund.de/spielenachmittag-in-schueren-jeden-dienstag/
2026-05-23;awo-dortmund.de;Pflegepause – Gesprächskreis für pflegende Angehörige, Freunde und Nachbarn am 5. Juni im EKH;Veranstaltung;Ankündigung eines Gesprächskreises für pflegende Angehörige;https://awo-dortmund.de/pflegepause-gespraechskreis-fuer-pflegende-angehoerige-freunde-und-nachbarn-am-5-juni-im-ekh/
2026-05-23;johannisstift.de;25 Jahre im St. Johannisstift;Personalie;Jubiläum einer Mitarbeiterin;https://www.johannisstift.de/blog/25-jahre-im-st-johannisstift/
2026-05-23;caritasverband-dueren.de;„Raus aus der Einsamkeit, rein in die Gemeinschaft“ – Ehrenamtliche begleiten Seniorenreisen;Ehrenamt;Neues Projekt zur Bekämpfung von Einsamkeit durch Ehrenamtliche;https://www.caritasverband-dueren.de/pressemitteilungen/raus-aus-der-einsamkeit-rein-in-die-gemeinschaft--/3292845/
2026-05-22;kaiser-otto-residenz.de;Schifffahrt auf dem Baldeneysee;Veranstaltung;Ankündigung einer konkreten Freizeitveranstaltung (Schifffahrt);https://kaiser-otto-residenz.de/aktuelles/schifffahrt-auf-dem-baldeneysee-3/
2026-05-22;rehse-gruppe.de;Ein neues Erscheinungsbild für die Rehsegruppe;Rebranding;Neues Erscheinungsbild und Logo der Gruppe;https://www.rehse-gruppe.de/aktuelles/ein-neues-erscheinungsbild-fuer-die-rehsegruppe/
2026-05-22;awo-dortmund.de;Das Seniorenbüro Innenstadt-West lädt ein:„Umgang mit Hitze – Hitzeschutz für Senior*innen“ am 3. Juni;Veranstaltung;Einladung zu einer konkreten Veranstaltung zum Thema Hitzeschutz für Seniorinnen.;https://awo-dortmund.de/das-seniorenbuero-innenstadt-west-laedt-einumgang-mit-hitze-hitzeschutz-fuer-seniorinnen-am-3-juni/
2026-05-22;laurentiusstift-coesfeld.de;Marienandacht im Marienmonat Mai;Veranstaltung;Bericht über eine konkrete kirchliche Veranstaltung (Marienandacht) im Heimplife.;https://www.laurentiusstift-coesfeld.de/6966-2/
2026-05-22;az-st-marien.de;40 Jahre Altenzentrum St. Marien;Veranstaltung;Einladung zu einer Jubiläumsfeier;https://www.az-st-marien.de/post/40-jahre-altenzentrum-st-marien
2026-05-22;johannisstift.de;Ehepaar Bittner berichtet;Bericht;Erfahrungsbericht eines Bewohners über Pflege;https://www.johannisstift.de/blog/ehepaar-bittner-berichtet/
2026-05-22;hanse-zentrum.de;Dankeschön für alle Mitarbeitende;Personalie;Dankesbekundung an das gesamte Team im Rahmen eines besonderen Anlasses.;https://www.hanse-zentrum.de/2026/05/22/dankeschoen-fuer-alle-mitarbeitende/
2026-05-22;diakonie-kreis-mettmann.de;Starke Hilfe für den Secondhand-Verkauf: Ehrenamtliche packen im Kaufhaus der Mettmanner an;Veranstaltung;Bericht über eine konkrete Aktion (Ehrentag) mit Medienpräsenz und ehrenamtlichem Engagement.;https://www.diakonie-kreis-mettmann.de/starke-hilfe-fuer-den-secondhand-verkauf-ehrenamtliche-packen-im-kaufhaus-der-mettmanner-an/
2026-05-22;grafschafter-diakonie.de;Freude, Alltag, Feinmotorik;Veranstaltung;Jubiläum und Schnuppertage der Tagespflege;https://www.grafschafter-diakonie.de/freude-alltag-feinmotorik/
2026-05-22;belia.de;Sara Schrötter übernimmt die Operative Leitung bei Belia;Personalie;Neue Personalübernahme;https://belia.de/news-detail/detail/sara-schroetter-uebernimmt-die-operative-leitung-bei-belia
2026-05-22;caritas-hoevelhof.de;Neuer Bereich für außerklinische Intensivpflege eröffnet;Eröffnung;Neuer Bereich für außerklinische Intensivpflege wurde eröffnet;https://www.caritas-hoevelhof.de/news/detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=72&cHash=2e0d4185f188e4eef57dea66fde36f62
2026-05-22;caritasverband-dueren.de;Pflegereform: Caritas fordert wirksame Entlastung von Familien;Aktion;Positionierung der Caritas zu einer aktuellen Pflegereform;https://www.caritasverband-dueren.de/pressemitteilungen/pflegereform-caritas-fordert-wirksame-entlastung-v/3296662/
2026-05-22;eaz-ohligs.de;Erneuerung der Aufzugsanlagen;Umbau;Erneuerung von Aufzugsanlagen ist ein relevantes Projekt/Umbau für das Pflegeheim.;https://eaz-ohligs.de/wp-content/uploads/2022/11/IMG_1177-scaled.jpg
2026-05-22;eaz-ohligs.de;Der Nikolaus zu Besuch im EAZ;Veranstaltung;Bericht über eine spezifische Heimsveranstaltung (Nikolausbesuch).;https://eaz-ohligs.de/wp-content/uploads/2022/12/IMG_1304-scaled.jpg
2026-05-22;eaz-ohligs.de;Vernissage unserer Bewohner*innen;Veranstaltung;Vernissage ist eine kulturelle Veranstaltung der Bewohner.;https://eaz-ohligs.de/wp-content/uploads/2023/01/IMG_1520-scaled.jpg
2026-05-22;eaz-ohligs.de;Neue Geschäftsführung im EAZ;Personalie;Neue Geschäftsführung ist eine relevante Personalie.;https://eaz-ohligs.de/wp-content/uploads/2023/02/P2160010-scaled.jpg
2026-05-22;eaz-ohligs.de;Turniere: Rummikub + Mensch ärgere Dich nicht;Veranstaltung;Ankündigung von sozialen Aktivitäten und Turnieren für Bewohnern;https://eaz-ohligs.de/wp-content/uploads/2024/05/20240514_102951-scaled.jpg
2026-05-22;eaz-ohligs.de;Karneval in der Cobra;Veranstaltung;Titel deutet auf eine lokale Veranstaltung (Karneval) im Heim hin.;https://eaz-ohligs.de/wp-content/uploads/2025/02/IMG-20250217-WA0046.jpg
2026-05-22;rhein-verein.de;Verabschiedung von Michael Fasen;Personalie;Verabschiedung eines Mitarbeiters;https://rhein-verein.de/verabschiedung-michael-fasen/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Blumenfest 07. Mai 2022;Veranstaltung;Titel deutet auf eine konkrete Veranstaltung hin, Text fehlt aber.;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/blumenfest-07-mai-2022/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Das Hochstift sagt Danke - Radio Hochstift zu Gast im Seniorencentrum Mallinckrodthof;Veranstaltung;Bericht über eine Gastveranstaltung im Seniorencentrum;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/das-hochstift-sagt-danke-radio-hochstift-zu-gast-im-seniorencentrum-mallinckrodthof/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Ehrenamtstreffen 13. Februar 2023;Veranstaltung;Titel deutet auf eine konkrete geplante Veranstaltung hin.;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/ehrenamtstreffen-13-februar-2023/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Heimbeiratswahl 27. und 28. April 2022;Veranstaltung;Ankündigung einer konkreten Wahlveranstaltung;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/heimbeiratswahl-27-und-28-april-2022/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Massagen für Mitarbeitende;Personalangebot;Neues Angebot für Mitarbeitende;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/massagen-fuer-mitarbeitende/
2026-05-22;seniorencentrum-mallinckrodthof-borchen.de;Sommerfest 13. August 2022;Veranstaltung;Einladung zu einem konkreten Festtermin;https://www.seniorencentrum-mallinckrodthof-borchen.de/aktuelles/aktuelles/aktuelles/news/sommerfest-13-august-2022/
2026-05-21;haus-st-josef-wadersloh.de;Gedenkgottesdienst im Haus St. Josef;Veranstaltung;Bericht über einen konkreten Gedenkgottesdienst;https://haus-st-josef-wadersloh.smmp.de/2026/05/21/gedenkgottesdienst-im-haus-st-josef/
2026-05-21;hvghirten.de;Baustelle im Haupthaus nimmt langsam Gestalt an;Umbau;Bericht über Fortschritt bei Baumaßnahme;https://hvghirten.de/baustelle-im-haupthaus-nimmt-langsam-gestalt-an/
2026-05-21;awo-dortmund.de;Geführter 2-teiliger Besuch auf dem Ostfriedhof;Veranstaltung;Ankündigung eines konkreten kulturellen Angebots (Führungen) mit Datum und Uhrzeit.;https://awo-dortmund.de/gefuehrter-2-teiliger-besuch-auf-dem-ostfriedhof/
2026-05-21;awo-dortmund.de;Rollatoren-Tanztee am 9. Juni im Bürgerhaus Pulsschlag;Veranstaltung;Ankündigung einer konkreten kulturellen Veranstaltung mit Datum und Ort.;https://awo-dortmund.de/rollatoren-tanztee-am-9-juni-im-buergerhaus-pulsschlag/
2026-05-21;lina-oberbaeumer-haus.de;Wertschätzung für Mitarbeitende;Personalie;Danksagung der Leitung an Mitarbeitende am Internationalen Tag der Pflege;https://lina-oberbaeumer-haus.de/2026/05/21/wertschaetzung-fuer-mitarbeitende/
2026-05-21;gesob-gmbh.de;Muttertags-Frühstück in Brauck;Veranstaltung;Bericht über eine konkrete Aktion (Muttertags-Frühstück);https://www.gesob-gmbh.de/2026/05/21/muttertags-fruehstueck-in-brauck/
2026-05-21;johannisstift.de;Sams-Hof öffnet seine Tore;Eröffnung;Neues Angebot und Eröffnung des Sams-Hof;https://www.johannisstift.de/blog/sams-hof-oeffnet-seine-tore/
2026-05-21;haus-phoebe.de;Konzertnachmittag ein Erfolg;Veranstaltung;Bericht über einen erfolgreichen Konzertnachmittag für Bewohner;https://haus-phoebe.de/2026/05/21/konzertnachmittag-ein-erfolg/
2026-05-21;grafenbergerwald.de;Rollender Zoo zu Gast im Paulushaus;Veranstaltung;Besuch des Rollenden Zoos im Heim;https://grafenbergerwald.de/rollender-zoo-zu-gast-im-paulushaus/
2026-05-21;hausschlosspark.de;Rollender Zoo zu Gast im Paulushaus;Veranstaltung;Besuch des Rollenden Zoos im Heim;https://hausschlosspark.de/rollender-zoo-zu-gast-im-paulushaus/
2026-05-21;haus-phoebe.de;Süßer Dank für wertvolle Arbeit;Personalie;Dankesbekundung der Leitung an Mitarbeiter im Rahmen eines Anlasses;https://haus-phoebe.de/2026/05/21/suesser-dank-fuer-wertvolle-arbeit/
2026-05-21;curata.de;Heidesee: CURATA Heidesee auf der Azubimesse Friedersdorf 2026;Veranstaltung;Teilnahme an einer Messe;https://www.curata.de/heidesee-azubimesse-friedersdorf/
2026-05-21;luehlerheim.de;Hauswirtschaftskraft (m/w/d) / Hauswirtschafts- und Betreuungskraft (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://luehlerheim.de/stellenanzeigen/hauswirtschaftskraft-m-w-d-hauswirtschafts-und-betreuungskraft-m-w-d/
2026-05-21;luehlerheim.de;Pflegefachkraft für den ambulanten Pflegedienst (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://luehlerheim.de/stellenanzeigen/pflegefachkraft-fuer-den-ambulanten-pflegedienst-m-w-d/
2026-05-21;haus-am-wiehen.de;Tanz in den Mai;Veranstaltung;Bericht über eine konkrete Aktion (Maibaum, Tanz);https://haus-am-wiehen.de/tanz-in-den-mai/
2026-05-21;alexianer.de;Deutschlandweit einmalig: Acht Werkstattbeschäftigte absolvieren den Pferdeführerschein;Personalie;Bericht über eine besondere Leistung der Werkstattbeschäftigten;https://www.alexianer.de/aktuelles/aktuell/deutschlandweit-einmalig-acht-werkstattbeschaeftigte-absolvieren-den-pferdefuehrerschein
2026-05-21;belia.de;„Da komme ich nicht dran“: Azubis erleben Alltag mit Einschränkungen;Bericht;Artikel über Ausbildung und Alltagserfahrungen;https://belia.de/news-detail/detail/da-komme-ich-nicht-dran-auszubildende-erleben-alltag-mit-einschraenkungen
2026-05-21;diakonis.de;Trauer-Café am Donnerstag, 4. Juni (Fronleichnam);Veranstaltung;Ankündigung eines konkreten Termins (Trauer-Café);https://diakonis.de/aktuelles/detail/trauer-cafe-am-donnerstag-7-mai
2026-05-21;kkle.de;Buchlesung und Impulsvortrag am 12. Juni in KleveDie Zelle im Mittelpunkt: Oberarzt Dr. Emmanuel Etoung stellt Konzept der „Motivationsmedizin“ vor;Veranstaltung;Ankündigung einer konkreten Veranstaltung mit Fachvortrag;https://www.kkle.de/news/die-zelle-im-mittelpunkt-oberarzt-dr-emmanuel-etoung-stellt-konzept-der-motivationsmedizin-vor
2026-05-20;seniorenzentrum-dielingen.de;Katja Stockmann ist Palliativ Fachkraft;Personalie;Erfolgsmeldung zur abgeschlossenen Qualifizierung einer Mitarbeiterin.;https://seniorenzentrum-dielingen.de/katja-stockmann-ist-palliativ-fachkraft
2026-05-20;awo-dortmund.de;Fit durch den Sommer: „Bewegung im Park“ in Aplerbeck geht weiter;neues Angebot;Fortsetzung eines bestehenden Bewegungsprogramms mit saisonalem Fokus;https://awo-dortmund.de/fit-durch-den-sommer-bewegung-im-park-in-aplerbeck-geht-weiter/
2026-05-20;grafschafter-diakonie.de;Jetzt anmelden für Ferienspiele des Treff 55;Veranstaltung;Ankündigung von Ferienspielen für Kinder;https://www.grafschafter-diakonie.de/jetzt-anmelden-fuer-ferienspiele-des-treff-55/
2026-05-20;franziskus-kleve.de;Gemeinsamer Ausflug zur Kevelaerer Kirmes;Veranstaltung;Bericht über einen gemeinsamen Ausflug und Seniorennachmittag der Bewohner.;https://franziskus-kleve.de/regina-pacis/gemeinsamer-ausflug-zur-kevelaerer-kirmes/
2026-05-20;franziskus-kleve.de;Vatertagskonzert im Franziskus-Haus;Veranstaltung;Bericht über ein traditionelles Konzert im Pflegeheim.;https://franziskus-kleve.de/franziskus-haus/vatertagskonzert-im-franziskus-haus/
2026-05-20;johannes-bochum.de;Schiffsfahrt auf dem Halterner See;Veranstaltung;Bericht über eine organisierte Schiffsfahrt;https://johannes-bochum.de/schiffsfahrt-halternersee-2026/
2026-05-20;haus-maria-veen.de;Tiergestützte Therapie im St.Antoniusheim;Neues Angebot;Einführung einer neuen therapeutischen Maßnahme;https://www.vfka-westfalen.de/st-antoniusheim/tiergeschuetzte-therapie-im-st-antoniusheim/
2026-05-20;vfka-westfalen.de;Tiergestützte Therapie im St.Antoniusheim;Neues Angebot;Einführung einer neuen therapeutischen Maßnahme;https://www.vfka-westfalen.de/st-antoniusheim/tiergeschuetzte-therapie-im-st-antoniusheim/
2026-05-20;johannisstift.de;Wo Tempo kein Taschentuch ist;Veranstaltung;Teilnahme am Osterlauf durch Mitarbeiter*innen;https://www.johannisstift.de/blog/wo-tempo-kein-taschentuch-ist/
2026-05-20;johannisstift.de;Angrillen 2026;Veranstaltung;Ankündigung eines traditionellen Grillereignisses mit neuem Standort.;https://www.johannisstift.de/blog/angrillen-2026/
2026-05-20;st-antonius-soest.de;Besuch vom Nikolaus;Veranstaltung;Bericht über eine spezifische Heimsveranstaltung;https://www.st-antonius-soest.de/aktuelles/aktuelles/aktuelles/news/besuch-vom-nikolaus/
2026-05-20;st-antonius-soest.de;Jubiläum in der Hauswirtschaft;Veranstaltung;Jubiläum ist eine echte Neuigkeit im Bereich des Hauses.;https://www.st-antonius-soest.de/aktuelles/aktuelles/aktuelles/news/jubilaeum-in-der-hauswirtschaft/
