ID;Name;Träger;Ort;Kreis;Adresse;Telefon;E-Mail;Website;Geschäftsführung;GF-Quelle;Einrichtungsleitung;EL-Quelle;Facebook;Instagram;LinkedIn;YouTube;Social Media (alle);Newsletter;Qualität;Quellen/Hinweise
18758;Seniorenzentrum Morillenhang;AWO GESA GmbH;Aachen;Städteregion Aachen;Morillenhang 23 - 25, 52064 Aachen;0241 70570-0;sz-morillenhang@awo-mittelrhein.de;https://www.awo-sz-morillenhang.de/home/;Sabine von Homeyer, Boris Hammerschmitt;impressum:awo-sz-morillenhang.de;Nicht ermittelt;none;https://facebook.com/gesa.awo;;https://linkedin.com/company/awo-mittelrhein-gesa-gmbh;;facebook: https://facebook.com/gesa.awo | linkedin: https://linkedin.com/company/awo-mittelrhein-gesa-gmbh;;complete;tel:api | mail:api | addr:api
190;Seniorenzentrum Rothe Erde;SKM Katholischer Verein für Soziale Dienste in Aachen e.V;Aachen;Städteregion Aachen;Barbarastr 17, 52068 Aachen;0241-41355-106;eva.hartwig-kleuters@skm-aachen.de;https://www.skm-aachen.de;Dr. Liane Schirra-Weirich, Dr. Christof Stock, Knops Für;impressum:https://www.skm-aachen.de/impressum/;Frau Eva Hartwig-Kleuters;api:ansprechpartner;https://fb.me/SKMAachen;;;https://youtube.com/@skmaachene.v.9679/featured;facebook: https://fb.me/SKMAachen | youtube: https://youtube.com/@skmaachene.v.9679/featured;;complete;tel:api | mail:api | addr:api
2868;Seniorenzentrum St. Severin;Seniorenzentrum Marienheim - Marienhospital Aachen GmbH;Aachen;Städteregion Aachen;Kirchfeldstr. 34, 52080 Aachen;02415500110;ramona.mallmann@marienhospital.de;https://www.marienhospital.de;Nicht ermittelt;none;Ramona Mallmann;api:ansprechpartner;https://facebook.com/marienhospital.aachen;;;https://youtube.com/channel/UCorUnOugZCLtHrdHQJELLWw;facebook: https://facebook.com/marienhospital.aachen | youtube: https://youtube.com/channel/UCorUnOugZCLtHrdHQJELLWw;https://www.marienhospital.de/de/de/newsletter;complete;tel:api | mail:api | addr:api
9060;Seniorenzentrum am Haarbach;;Aachen;Städteregion Aachen;Haarbachtalstr. 14, 52080 Aachen;0241-99120-41;anmeldungSZ@amhaarbach.de;https://www.amhaarbach.de;Johannes Krückel;websearch-impressum:https://begegnungszentrum-amhaarbach.de/impressum/;Sozialer Dienst;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
1412;Caritas Seniorenheim  Holthues Hoff;Kanäle des Caritasverbandes im Dekanat Ahaus-Vreden e.V;Ahaus;Kreis Borken;Fuistingstr. 37, 48683 Ahaus;02561/9160;holthues-hoff-ahaus@caritas-ahaus-vreden.de;https://www.caritas-ahaus-vreden.de/holthues-hoff;Merzbach Peter, Schwack Matthias;impressum:https://www.caritas-ahaus-vreden.de/impressum;Frau Mechtild Eing;api:ansprechpartner;;;;;;https://www.caritas-ahaus-vreden.de/der-verband/newsletter/;complete;tel:api | mail:api | addr:api
1411;Caritas Seniorenheim St. Friedrich;Kanäle des Caritasverbandes im Dekanat Ahaus-Vreden e.V;Ahaus;Kreis Borken;Eichenallee 3-5, 48683 Ahaus;02561/95170;st.friedrich-wessum@caritas-ahaus-vreden.de;https://www.caritas-ahaus-vreden.de/st.-friedrich;Merzbach Peter, Schwack Matthias;impressum:https://www.caritas-ahaus-vreden.de/impressum;Frau Petra Gesing;api:ansprechpartner;;;;;;https://www.caritas-ahaus-vreden.de/der-verband/newsletter/;complete;tel:api | mail:api | addr:api
6602;Heinrich-Albertz-Haus;Kanäle des Caritasverbandes im Dekanat Ahaus-Vreden e.V;Ahaus;Kreis Borken;Hindenburgallee 27, 48683 Ahaus;0256142920;heinrich-albertz-haus@caritas-ahaus-vreden.de;https://www.caritas-ahaus-vreden.de/heinrich-albertz-haus;Merzbach Peter, Schwack Matthias;impressum:https://www.caritas-ahaus-vreden.de/impressum;Linda Harking;api:ansprechpartner;;;;;;https://www.caritas-ahaus-vreden.de/der-verband/newsletter/;complete;tel:api | mail:api | addr:api
6425;Katharinen Stift;St. Antonius-Hospital Gronau GmbH;Ahaus;Kreis Borken;Haaksbergener Str. 36, 48683 Ahaus;02567938125;vanderwals@st-antonius-gronau.de;https://www.altenhilfe-gronau.de/haeuser/katharinen-stift/portrait/;Nicht ermittelt;none;Frau Marion van der Wals;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
1829;St. Marien Senioren- u. Pflegezentrum;;Ahaus;Kreis Borken;Wüllener Str. 103, 48683 Ahaus;02561 99-2100;marien@marien-kh-gmbh.de;https://www.marien-spz-ahaus.de;Dr. Björn Büttner, Dr. Klaus Goedereis, Holger Winter;impressum:https://www.pflegenetz-westmuensterland.de/einrichtungen/senioren-und-pflegezentren/st-marien-senioren-und-pflegezentrum-ahaus/kontakt/impressum/;Ali Nazlier;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
219;AWO Seniorenzentrum Hugo-Stoffers;;Ahlen;Kreis Warendorf;Richard-Wagner-Str. 50, 59227 Ahlen;02382-91450;el-ahlen@awo-ww.de;https://www.awo-ww.de/seniorenzentren;Michael Scheffler, Anja Butschkau, Uwe Hildebrandt;impressum:https://awo-ww.de/impressum;Frau Ira Schütte;api:ansprechpartner;https://facebook.com/awo.bezirk.ww;;;https://youtube.com/c/Awo-wwDe;facebook: https://facebook.com/awo.bezirk.ww | youtube: https://youtube.com/c/Awo-wwDe;https://awo-ww.de/newsletteranmeldung;complete;tel:api | mail:api | addr:api
9667;Betreuungszentrum Rosengarten;AP-Pflegedienste GmbH;Ahlen;Kreis Warendorf;Lütkeweg 13, 59229 Ahlen;02382-8898-0;info@betreuungszentrum-rosengarten.de;https://www.ap-pflegedienste.de;Michael Kamp, Gunnar Sander;impressum:ap-pflegedienste.de;Frank Brauer;api:ansprechpartner;https://facebook.com/APServiceGmbh;;;;facebook: https://facebook.com/APServiceGmbh;;complete;tel:api | mail:api | addr:api
720;Elisabeth-Tombrock-Haus;St.Clemens GmbH;Ahlen;Kreis Warendorf;Kapellenstr. 25, 59227 Ahlen;02382-893-3;tombrock.haus@st-clemens-gmbh.de;https://www.elisabeth-tombrock-haus.de;Daniel Freese;impressum:https://www.elisabeth-tombrock-haus.de/impressum.html;Frau Katharina Rüter;api:ansprechpartner;https://facebook.com/pages/Franziskus-Stiftung-M%C3%BCnster-Karriere/192187337462275;;https://linkedin.com/company/st-franziskus-stiftung-m%C3%BCnster;https://youtube.com/user/SFSMuenster;facebook: https://facebook.com/pages/Franziskus-Stiftung-M%C3%BCnster-Karriere/192187337462275 | linkedin: https://linkedin.com/company/st-franziskus-stiftung-m%C3%BCnster | youtube: https://youtube.com/user/SFSMuenster | xing: https://xing.com/companies/st.franziskus-stiftungm%C3%BCnster;;complete;tel:api | mail:api | addr:api
15918;Seniorenzentrum Am Domizil;;Ahlen;Kreis Warendorf;Im Herbrand 20a, 59229 Ahlen;02382-968991-0;info@seniorenzentrum-am-domizil.de;https://www.seniorenzentrum-am-domizil.de;Michael Kamp, Gunnar Sander;impressum:seniorenzentrum-am-domizil.de;Herrn Dominik Quabeck;api:ansprechpartner;https://facebook.com/APServiceGmbh;;;;facebook: https://facebook.com/APServiceGmbh;;complete;tel:api | mail:api | addr:api
2381;Seniorenzentrum Drüke Möhne;AP-Pflegedienste GmbH;Ahlen;Kreis Warendorf;Dorffelder Str. 7a, 59227 Ahlen;02528-9298410;Sierleja@seniorenzentrum-ahlen-vorhelm.de;https://www.ap-pflegedienste.de;Michael Kamp, Gunnar Sander;impressum:ap-pflegedienste.de;Frau Gülü Cetin;api:ansprechpartner;https://facebook.com/APServiceGmbh;;;;facebook: https://facebook.com/APServiceGmbh;;complete;tel:api | mail:api | addr:api
731;St. Vinzenz am Stadtpark;;Ahlen;Kreis Warendorf;Kampstr. 13-15, 59227 Ahlen;+4923828890200;werner.messink@svg-ahlen.de;https://www.st-vincenz-gesellschaft.de;Nicht ermittelt;none;Werner Messink;api:ansprechpartner;https://facebook.com/p/St-Vincenz-Gesellschaft-Ahlen-100077591293183;;https://linkedin.com/company/st-franziskus-stiftung-m%C3%BCnster;https://youtube.com/user/SFSMuenster;facebook: https://facebook.com/p/St-Vincenz-Gesellschaft-Ahlen-100077591293183 | linkedin: https://linkedin.com/company/st-franziskus-stiftung-m%C3%BCnster | youtube: https://youtube.com/user/SFSMuenster | xing: https://xing.com/companies/st.franziskus-stiftungm%C3%BCnster;;complete;tel:api | mail:api | addr:api
427;Wohnanlage Gut Köttenich;;Aldenhoven;Kreis Düren;An der Bleiche 28, 52457 Aldenhoven;02464 9086603;alexandra.kotzott@gut-koettenich.de;https://www.compassio.de;Christopher Nolde, Dr. Florian Frensch, Oliver Jaenicke, Johannes Knake;impressum:https://www.compassio.de/impressum/;Kotzott Alexandra;api:ansprechpartner;https://facebook.com/compassiopflege;;https://linkedin.com/company/compassio-lebensraeume-pflege;https://youtube.com/@compassiopflege;facebook: https://facebook.com/compassiopflege | linkedin: https://linkedin.com/company/compassio-lebensraeume-pflege | youtube: https://youtube.com/@compassiopflege | xing: https://xing.com/pages/compassio;;complete;tel:api | mail:api | addr:api
22059;Wohnanlage Neu Pattern;;Aldenhoven;Kreis Düren;Konrad-Adenauer-Straße 8-8b, 52457 Aldenhoven;02464 9086603;alexandra.kotzott@compassio.de;https://www.compassio.de;Christopher Nolde, Dr. Florian Frensch, Oliver Jaenicke, Johannes Knake;impressum:https://www.compassio.de/impressum/;Kotzott Alexandra;api:ansprechpartner;https://facebook.com/compassiopflege;;https://linkedin.com/company/compassio-lebensraeume-pflege;https://youtube.com/@compassiopflege;facebook: https://facebook.com/compassiopflege | linkedin: https://linkedin.com/company/compassio-lebensraeume-pflege | youtube: https://youtube.com/@compassiopflege | xing: https://xing.com/pages/compassio;;complete;tel:api | mail:api | addr:api
22064;Wohnanlage Neu Pattern Kurzzeitpflege;;Aldenhoven;Kreis Düren;Konrad-Adenauer-Straße 8-8b, 52457 Aldenhoven;02464 9086603;alexandra.kotzott@compassio.de;https://www.compassio.de;Christopher Nolde, Dr. Florian Frensch, Oliver Jaenicke, Johannes Knake;impressum:https://www.compassio.de/impressum/;Kotzott Alexandra;api:ansprechpartner;https://facebook.com/compassiopflege;;https://linkedin.com/company/compassio-lebensraeume-pflege;https://youtube.com/@compassiopflege;facebook: https://facebook.com/compassiopflege | linkedin: https://linkedin.com/company/compassio-lebensraeume-pflege | youtube: https://youtube.com/@compassiopflege | xing: https://xing.com/pages/compassio;;complete;tel:api | mail:api | addr:api
31832;Libento Seniorenresidenz Alfter;;Alfter;Rhein-Sieg-Kreis;Bahnhofstr. 6b, 53347 Alfter;02222 - 9294 1000;alfter@libento-pflege.de;https://libento-pflege.de/alfter/startseite;Nicht ermittelt;none;Jessica Erlenbusch (ehem. Storm);api:ansprechpartner;https://facebook.com/libento.pflege;;https://linkedin.com/company/libento-seniorenresidenzen-gmbh;;facebook: https://facebook.com/libento.pflege | linkedin: https://linkedin.com/company/libento-seniorenresidenzen-gmbh | xing: https://xing.com/pages/libento-seniorenresidenzen-gmbh;;complete;tel:api | mail:api | addr:api
22307;Sankt Elisabeth Seniorenzentrum;;Alfter;Rhein-Sieg-Kreis;Am Rathaus  9, 53347 Alfter;0228-9866-0;einrichtungsleitung@sanktelisabeth-alfter.de;https://www.residenzen.de/seniorenresidenzen-alfter;Marco Schäfer;websearch-impressum:https://www.seniorenzentrum-st-elisabeth.de/impressum;Beate Dünker;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
32997;Alten- und Pflegeeinrichtung Haus Rosemarie;;Alpen;Kreis Wesel;Dickstr. 60, 46519 Alpen;0280294620;kontakt@gpa-rosemarie.de;https://www.gpabrunngraber.de/das-sind-wir/haus-rosemarie/;Andreas Heßeling;websearch-cache:https://marienstift-alpen.de;Timo Brunngraber;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
1024;Marienstift Alpen;;Alpen;Kreis Wesel;Ulrichstr. 16-18, 46519 Alpen;02802820;info@marienstift-alpen.de;https://www.marienstift-alpen.de;Andreas Heßeling;impressum:https://www.marienstift-alpen.de/2-uncategorised/2-impressum.html;Frau Agnes Heßeling;api:ansprechpartner;https://facebook.com/Marienstift-Alpen-648563915311217;;;;facebook: https://facebook.com/Marienstift-Alpen-648563915311217;;complete;tel:api | mail:api | addr:api
13879;"Pflege-und Betreuungszentrum ""Haus Sebastian""";;Alpen;Kreis Wesel;Dickstraße 60, 46519 Alpen;02802/3303;kontakt@gpa-sebastian.de;https://www.gpabrunngraber.de/das-sind-wir/haus-sebastian/;Josef Wassermann, Dr. Sebastian Kirsch;websearch-impressum:https://www.werdenfelser-weg-original.de/impressum-2/;Frau Nicole Janda-Steininger;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
1023;Wachkomabereich - Menschen mit schweren und schwersten neurologischen Störungen und Rehabilitationsphase F;;Alpen;Kreis Wesel;Ulrichstr. 16-18, 46519 Alpen;02802-820;info@marienstift-alpen.de;https://www.marienstift-alpen.de;Andreas Heßeling;impressum:https://www.marienstift-alpen.de/2-uncategorised/2-impressum.html;Frau Agnes Heßeling;api:ansprechpartner;https://facebook.com/Marienstift-Alpen-648563915311217;;;;facebook: https://facebook.com/Marienstift-Alpen-648563915311217;;complete;tel:api | mail:api | addr:api
22820;Altenheim St. Josefhaus;;Alsdorf;Städteregion Aachen;Alte Aachener Straße 18, 52477 Alsdorf;02404/6740-0;info@st-josefhaus.de;https://www.st-josefhaus.de;Nicht ermittelt;none;Herr Jürgen Marks (PDL);api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
2054;Haus Christina;;Alsdorf;Städteregion Aachen;Luisenstraße 91-93, 52477 Alsdorf;02404/95786-0;haus-christina@gmx.net;http://www.pflegelinks.de/pflegeheim/haus-christina;Nicht ermittelt;none;Frau Zimmermann;api:ansprechpartner;;;;;;;complete;tel:api | mail:web(mistral) | addr:api
22074;Seniorenzentrum St. Anna, Alsdorf;;Alsdorf;Städteregion Aachen;Bettendorferstraße 30, 52477 Alsdorf;02404 - 9877 0;info@sz-st-anna.de;https://www.sz-st-anna.de;Ralf Kaup, Alexander Letzel;impressum:https://www.sz-st-anna.de/impressum/;Angela Sander;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
1145;Stella Vitalis Seniorenzentrum am Mariadorfer Dreieck;;Alsdorf;Städteregion Aachen;Eschweilerstr 2, 52477 Alsdorf;0800-5513010;zbm@stellavitalis.de;https://www.stellavitalis.de/;Axel Hölzer;impressum:https://www.stellavitalis.de/impressum/;Zentrales Belegungsmanagement;api:ansprechpartner;https://facebook.com/stellavitalisgmbh;;;;facebook: https://facebook.com/stellavitalisgmbh;;complete;tel:api | mail:api | addr:api
422;Wohnanlage  An der Stadthalle;;Alsdorf;Städteregion Aachen;Rathausstraße 27, 52477 Alsdorf;02464 9086603;alexandra.kotzott@compassio.de;https://www.compassio.de;Christopher Nolde, Dr. Florian Frensch, Oliver Jaenicke, Johannes Knake;impressum:https://www.compassio.de/impressum/;Alexandra Kotzott;api:ansprechpartner;https://facebook.com/compassiopflege;;https://linkedin.com/company/compassio-lebensraeume-pflege;https://youtube.com/@compassiopflege;facebook: https://facebook.com/compassiopflege | linkedin: https://linkedin.com/company/compassio-lebensraeume-pflege | youtube: https://youtube.com/@compassiopflege | xing: https://xing.com/pages/compassio;;complete;tel:api | mail:api | addr:api
21993;Wohnstätte betagter Bürger Haus Stephanie GmgH & Co. KG;Haus Stephanie GmbH & Co. KG;Alsdorf;Städteregion Aachen;Eschweilerstraße 167-171, 52477 Alsdorf;02404 61930;info@hausstephanie.de;https://www.hausstephanie.de;Uwe Grotensohn, Stephanie Grotensohn, Violanta Grotensohn;impressum:https://www.hausstephanie.de/impressum.htm;Uwe Grotensohn;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
